com.samsung.health.sleep_stage,6195017,6,,,,,,,,
51:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.0,43:48.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,8da2d779-2973-4450-86a1-58fa397fe854
58:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.0,43:48.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,03:00.0,3431bbaa-e511-4875-ba30-4d7bb60ac2c8
03:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.1,43:48.1,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,4261b361-ed47-4ebb-9918-2a0d8840c191
06:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.1,43:48.1,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,07:00.0,f2ed3a26-23c2-4fb7-9e86-64688dea23c6
07:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.1,43:48.1,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,20:00.0,793d08d2-1f88-4b66-9ecb-07befbac3b8e
20:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.2,43:48.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,21:00.0,58ae81e1-bccd-4f94-9b95-3615bc8b155f
21:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.2,43:48.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,5326c415-9c57-4b9c-a3e0-219dd0741e3e
43:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.2,43:48.2,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,c0fea2c6-a3bc-4002-ad39-4f511d65ec26
09:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.2,43:48.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,3d422f83-a4d6-464a-ab23-2171be90cc2a
15:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.2,43:48.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,23:00.0,cb7a43de-fca5-4fe9-bc50-a4bec4e95fd6
23:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.2,43:48.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,32:00.0,357b85e8-a8b6-4846-93a1-deb691ff5830
32:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,d5ac8aed-c119-4572-b1c3-bc4f8cd26d7e
33:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,4c423015-0127-48a4-a0cc-fb35e355e3af
54:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,79b171e5-b62d-46e8-9c01-c67dff89633c
41:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,71b152c9-01ef-4252-9860-5fcae0600dbc
42:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,66f18d90-3c77-45d6-8edc-bd7aa8e06d23
48:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,1c9c1488-9685-442f-8007-cf82f6e4a26f
49:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,50:00.0,6ce30213-2bb0-4785-ac5d-d77c91f57bf8
50:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,74d8bfa8-2679-475e-aee7-feb369e8e4f6
54:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,5f095b60-21ee-4183-a61f-45ca87045a01
26:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,f44ca9ae-78f1-4520-9668-3acd531d6ec6
33:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,a7f6b35d-6909-4fd5-98c0-99a7beaffeb2
36:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,55:00.0,63d834f1-b1ab-45d7-bd05-c2fe34233246
55:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,04:00.0,b2265872-a9a1-4e47-9e26-f89a96ed3658
04:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.3,43:48.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,11:00.0,bd7e3d74-5467-46e0-beaf-df0d4353eb10
53:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.1,03:54.1,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,9f4cc540-29e8-47f0-8f1e-6c677fd37fad
09:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.1,03:54.1,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,12:00.0,fd222ab4-4258-4330-b0f7-31839815a8cc
12:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.1,03:54.1,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,68a585b4-e617-40ff-9fb0-a8dc9d3645ed
24:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.1,03:54.1,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,25:00.0,600c0bc7-0a35-49f3-887b-b1642d162054
25:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.1,03:54.1,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,026fa33e-31f0-4525-94c0-c0b237db30db
33:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.1,03:54.1,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,34:00.0,1fe994d5-b4d6-4060-82b0-04a0322260f9
34:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,e32c0c41-692a-45f5-88ad-07a2fd7268e3
43:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,4c2d65a0-f90a-4e7f-b3b7-9a3072a4bd31
44:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,59:00.0,4044b0fb-c2cf-486c-88e0-b8c39085fc97
59:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,40:00.0,0c047190-22e0-4beb-a8c0-588bd8a7d632
40:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,bd0bad20-9bd2-437b-8d07-b8cde46942ca
42:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,14d0cf3c-497b-4f8c-8628-9c709f8d02b3
46:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,533492db-6114-43d3-a8bb-e247e82af866
47:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,55:00.0,2801ecee-6e7c-4f70-b1f6-42a39c39f191
55:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,56:00.0,c86ec511-14fb-47c3-a8f6-90fcbe70e581
56:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,01:00.0,651ea9a9-a1d8-4bd6-b6e5-4cd0ca4df138
01:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,02:00.0,2d6f56b2-3d3b-4b3e-9997-114a50521e4e
02:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,03:00.0,2d0f3414-80c9-4b95-b7e2-8146fc55e42f
03:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,19:00.0,e5085417-12bb-40e6-868a-5b953c4ebe1f
19:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,21:00.0,78299906-13ee-4b03-8eb8-efa2207a1867
21:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,32:00.0,3057f9fd-9a57-4ed9-a16f-fcee60e2f1b4
32:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,938196b5-a91a-480c-b76f-af966c14c6a0
33:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,37:00.0,12aedf9a-bf36-42c0-a084-2a4aeb8128ab
37:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,59f184ea-4e1b-4fd5-ade9-803dab6cbadf
38:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,50:00.0,dbbcd82d-e9b0-4f53-b150-e9bc698e6979
50:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,52:00.0,c43c5d6d-2c17-4148-a0a9-a12f93596e32
52:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,d8bf7d24-ac21-43d3-83c7-f9a5bb04deb0
08:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,f157959d-fb56-41ee-88f1-72ccafecd070
30:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,725c3f50-b118-44d1-98f3-09c8a6e56c88
33:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,b766af33-cea4-43d1-adff-9e4f4d22210d
13:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,d8da5377-b485-4caa-898a-da4e8cf65c78
28:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,ace5dd45-d6f7-4d74-9440-06620f123df6
31:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,34:00.0,f5533e9e-a070-4b14-a0cd-c76972e9bf9a
34:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,5b22373a-ee84-49e2-8154-6ad4cdb95422
51:00.0,8ccc9bf3-c4c5-42cd-92b7-9e46eaa2f37d,,03:54.2,03:54.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,03:00.0,dad6d32e-0ca5-4fe8-8a5a-5b303b3c8a1b
18:00.0,b8b8ecef-3cf7-4b64-8509-40dd036f8d44,,01:03.5,01:03.5,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,168a23e6-b47d-4d1c-9996-0a15c09a5c2e
47:00.0,b8b8ecef-3cf7-4b64-8509-40dd036f8d44,,01:03.5,01:03.5,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,7c25f0cd-687f-4817-9b0d-0a2ba887302d
06:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,21:00.0,c9cda67b-dd12-4431-9e07-56819a30ca29
21:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,4e9ad4c9-94f1-47ef-931f-fa87a1067ec1
24:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,4825fcab-a753-4e0d-9244-d8af6c9469cc
27:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,dcc2c120-85cf-4faf-8af8-9ed63c854d54
28:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,7479b852-0fb0-406e-a175-38b24f3dfb0a
30:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,b61672db-589f-4ce1-b2cf-92ffd271c96a
31:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,be6cb509-5ac1-4de7-b4f7-15ce56a94be9
42:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,863e31ca-fb07-4374-8229-c0c140754228
43:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,4cd507fc-44a7-4a87-9e03-f0560ab494fe
05:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,e366122c-0485-4a65-8c3b-a69d65cb0b0c
13:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,14:00.0,c8b98094-1a35-4cc1-b1de-c71064dc9954
14:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,893167ce-194f-4f1d-bde1-93e7f0455272
15:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,512e85df-9ae6-4dac-9c03-4ee556d01b64
27:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,50:00.0,d7f2383f-125e-4b7c-a3c4-fc0a0c5dd6be
50:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,45728b9b-053b-488e-bd6f-e83d86c4309a
51:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,52:00.0,cc56bedd-5dd5-4702-98a8-6933267331d5
52:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,53:00.0,e2c51929-0780-4820-a303-9d5170377fb3
53:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,ac1c1a38-1bc1-44d0-8bd3-f029e67773a8
54:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,56:00.0,296315de-4981-4d88-9351-c7e73654ad10
56:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,57:00.0,c05a9fa1-5622-489f-b092-800b16ed18d8
57:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,02:00.0,ca680500-82e6-4c22-830b-1016a70c7201
02:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,43fcfcf2-a5b6-4fb7-b998-2935442e0e9c
06:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,07:00.0,c939c8e0-034c-4009-b332-7730a72ed374
07:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,10:00.0,e44b6011-ebb5-483a-ba57-444010957795
10:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,14:00.0,71e753cd-a4fc-4482-9d93-2440184db3c1
14:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,23:00.0,94dde3d5-0856-4b03-b3e9-3e7268533444
23:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,c3701790-0e6e-41a8-b90a-119eeb7d063a
24:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,f3a4796b-a330-4c94-b8b0-c2ad054baaff
28:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,29:00.0,5a1b6dcb-cd5a-46d5-ae00-c5bffd7c66bc
29:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,dcedd7ff-2d79-4221-9b2f-19c461ddf941
49:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,95e4757d-bc17-4c32-8600-24de21da6020
54:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,fd07e038-c7bc-4b3b-bad9-7852616e37aa
13:00.0,f8333b9a-bd9d-4045-8a79-e5d4cf972100,,10:11.4,10:11.4,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,16:00.0,e62588df-d91b-40b0-8643-f0961ee6ff71
